source,restaurant_id,restaurant_name,restaurant_url,city,category,total_reviews,restaurant_rating,review_id,reviewer_id,review_text,rating,review_date,crawl_timestamp
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,10,17661189,,"Gà thịt chắc, giai, ngọt rất ngon. Xin mời mọi người ghé quán ạ",0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661183,,"Món này ngon, ai chưa được ăn thì nên ghé ăn thử nhé",0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661181,,Thịt gà thơm ngon và hấp dẫn bổ dưỡng,0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661188,,Ngon lắm nha,0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661184,,"Rất ngon , hấp dẫn",0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661180,,Món này ngon.ai chưa được  ăn thì nên thử nè,0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661175,,Gà thơm ngon ngọt day ăn một lần là nhớ mãi,0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661179,,"Gà ngon ,sẽ ủng hộ tiếp",0,24/06/2023,2026-09-18T21:37:30.457884
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661168,,Món ăn rất ngon và nhiều người thích,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661174,,gà vườn nên ăn rất ngon thịt dai,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661177,,Món ngon mng đến đây thử nha,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661173,,"Mùi rất thơm , dai ngon",0,24/06/2023,2026-09-18T21:37:31.620671
